month,sunspot,year
10,2685,1970
11,2856,1970
12,2588,1970
1,2829,1971
2,2211,1971
3,1881,1971
4,2154,1971
5,1784,1971
6,1493,1971
7,2511,1971
8,1902,1971
9,1505,1971
10,1604,1971
11,1896,1971
12,2548,1971
1,1905,1972
2,2565,1972
3,2484,1972
4,1897,1972
5,2496,1972
6,2641,1972
7,2370,1972
8,2381,1972
9,1921,1972
10,1901,1972
11,1248,1972
12,1404,1972
1,1345,1973
2,1201,1973
3,1427,1973
4,1731,1973
5,1314,1973
6,1186,1973
7,716,1973
8,794,1973
9,1779,1973
10,951,1973
11,717,1973
12,721,1973
1,856,1974
2,728,1974
3,661,1974
4,1208,1974
5,1225,1974
6,1081,1974
7,1730,1974
8,1043,1974
9,1205,1974
10,1460,1974
11,749,1974
12,637,1974
1,585,1975
2,321,1975
3,356,1975
4,154,1975
5,278,1975
6,342,1975
7,875,1975
8,1232,1975
9,417,1975
10,285,1975
11,581,1975
12,243,1975
1,252,1976
2,125,1976
3,679,1976
4,564,1976
5,385,1976
6,367,1976
7,60,1976
8,509,1976
9,406,1976
10,638,1976
11,157,1976
12,474,1976
1,509,1977
2,646,1977
3,269,1977
4,387,1977
5,576,1977
6,1156,1977
7,662,1977
8,933,1977
9,1319,1977
10,1357,1977
11,872,1977
12,1340,1977
1,1609,1978
2,2622,1978
3,2372,1978
4,2992,1978
5,2563,1978
6,2852,1978
7,2181,1978
8,1801,1978
9,4146,1978
10,3877,1978
11,2936,1978
12,3805,1978
1,5164,1979
2,3851,1979
3,4278,1979
4,3045,1979
5,4165,1979
6,4485,1979
7,4941,1979
8,4407,1979
9,5653,1979
10,5771,1979
11,5499,1979
12,5464,1979
1,4948,1980
2,4494,1980
3,3911,1980
4,4922,1980
5,5576,1980
6,4718,1980
7,4224,1980
8,4197,1980
9,4651,1980
10,5106,1980
11,4436,1980
12,5405,1980
1,3535,1981
2,3957,1981
3,4200,1981
4,4692,1981
5,3951,1981
6,2726,1981
7,4457,1981
8,4919,1981
9,5019,1981
10,5035,1981
11,4124,1981
12,4653,1981
1,3446,1982
2,4581,1982
3,4767,1982
4,3661,1982
5,2547,1982
6,3313,1982
7,3288,1982
8,3336,1982
9,3563,1982
10,2937,1982
11,2943,1982
12,3936,1982
1,2612,1983
2,1428,1983
3,2062,1983
4,2420,1983
5,3074,1983
6,2734,1983
7,2547,1983
8,2225,1983
9,1510,1983
10,1730,1983
11,1001,1983
12,1036,1983
1,1766,1984
2,2476,1984
3,2589,1984
4,2090,1984
5,2367,1984
6,1384,1984
7,1159,1984
8,790,1984
9,470,1984
10,373,1984
11,684,1984
12,579,1984
1,512,1985
2,445,1985
3,532,1985
4,487,1985
5,851,1985
6,725,1985
7,952,1985
8,345,1985
9,116,1985
10,577,1985
11,487,1985
12,536,1985
1,79,1986
2,650,1986
3,469,1986
4,555,1986
5,425,1986
6,32,1986
7,561,1986
8,229,1986
9,113,1986
10,1097,1986
11,456,1986
12,210,1986
1,323,1987
2,68,1987
3,457,1987
4,1188,1987
5,1024,1987
6,522,1987
7,1023,1987
8,1200,1987
9,1018,1987
10,1880,1987
11,1196,1987
12,839,1987
1,1828,1988
2,1160,1988
3,2363,1988
4,2641,1988
5,1863,1988
6,3054,1988
7,3529,1988
8,3459,1988
9,3603,1988
10,3879,1988
11,3754,1988
12,5555,1988
1,4999,1989
2,4622,1989
3,4072,1989
4,3919,1989
5,4292,1989
6,5885,1989
7,3934,1989
8,5236,1989
9,5302,1989
10,4941,1989
11,5191,1989
12,5130,1989
1,5496,1990
2,3655,1990
3,4348,1990
4,4208,1990
5,4097,1990
6,3163,1990
7,4631,1990
8,6208,1990
9,3757,1990
10,4512,1990
11,3941,1990
12,4021,1990
1,4245,1991
2,4689,1991
3,4398,1991
4,4201,1991
5,3759,1991
6,5091,1991
7,5384,1991
8,5466,1991
9,3758,1991
10,4468,1991
11,3245,1991
12,4477,1991
1,4649,1992
2,4671,1992
3,3309,1992
4,2994,1992
5,2287,1992
6,1955,1992
7,2657,1992
8,2001,1992
9,1916,1992
10,2750,1992
11,2755,1992
12,2561,1992
1,1838,1993
2,2547,1993
3,2165,1993
4,1866,1993
5,1901,1993
6,1495,1993
7,1794,1993
8,1309,1993
9,672,1993
10,1747,1993
11,1067,1993
12,1515,1993
1,1793,1994
2,995,1994
3,983,1994
4,482,1994
5,552,1994
6,840,1994
7,1087,1994
8,697,1994
9,770,1994
10,1363,1994
11,539,1994
12,812,1994
1,750,1995
2,838,1995
3,965,1995
4,420,1995
5,449,1995
6,469,1995
7,450,1995
8,443,1995
9,354,1995
10,653,1995
11,271,1995
12,311,1995
1,355,1996
2,128,1996
3,284,1996
4,144,1996
5,169,1996
6,353,1996
7,254,1996
8,446,1996
9,49,1996
10,28,1996
11,537,1996
12,413,1996
1,178,1997
2,212,1997
3,270,1997
4,465,1997
5,573,1997
6,382,1997
7,321,1997
8,756,1997
9,1539,1997
10,711,1997
11,1169,1997
12,1276,1997
1,983,1998
2,1127,1998
3,1700,1998
4,1601,1998
5,1744,1998
6,2120,1998
7,2052,1998
8,2842,1998
9,2788,1998
10,1721,1998
11,2221,1998
12,2539,1998
1,1922,1999
2,1856,1999
3,2133,1999
4,1910,1999
5,3299,1999
6,4130,1999
7,3519,1999
8,2906,1999
9,2147,1999
10,3619,1999
11,3996,1999
12,2623,1999
1,2793,2000
2,3273,2000
3,4293,2000
4,3766,2000
5,3769,2000
6,3748,2000
7,5274,2000
8,4045,2000
9,3292,2000
10,3080,2000
11,3204,2000
12,3237,2000
1,2972,2001
2,2256,2001
3,3517,2001
4,3230,2001
5,2994,2001
6,4019,2001
7,2536,2001
8,3297,2001
9,4521,2001
10,3891,2001
11,3194,2001
12,4097,2001
1,3536,2002
2,3006,2002
3,3049,2002
4,3611,2002
5,3744,2002
6,2654,2002
7,3098,2002
8,3607,2002
9,3280,2002
10,3021,2002
11,2849,2002
