kousui,sitsudo,kaimen kiatsu,jyouki,wspeed,kion,nissyou,kiatsu
0.5,63,1001.3,8.6,11.2,11.6,0,998.2
0,59,1001.7,8.1,8,11.6,0,998.6
0,51,1001.5,7.1,9.9,11.9,0,998.4
0,46,1000.9,6.5,5.9,12.1,0,997.8
0,46,1001.7,6.6,3.5,12.3,0,998.6
0,67,1003.1,8.3,3.3,10.2,0,999.9
0,65,1003.7,8.1,5.3,10.2,0,1000.5
0,66,1004.9,8.3,0.9,10.4,0,1001.7
0,59,1005.5,8.1,2.2,11.6,0.1,1002.4
0,48,1006.3,7.3,1,13.3,0.3,1003.2
0,39,1006.9,6.3,0.5,14.1,0.5,1003.8
0,47,1007.3,7.1,2.4,13.2,0,1004.2
0,46,1006.9,7.5,2.6,14.3,0.2,1003.8
0,46,1007,7.7,3.3,14.8,0.5,1003.9
0,51,1006.9,8.2,4.1,14.1,0.5,1003.8
0,53,1006.6,8.6,3.8,14.3,0.3,1003.5
0,71,1006.9,10.5,2.9,12.8,0.1,1003.8
0,62,1007.6,9.3,4.3,13.1,0,1004.5
0,65,1007.4,9.4,1.6,12.5,0,1004.3
0,78,1007.7,10.3,0.7,11.1,0,1004.5
0,79,1008.1,10.3,1.5,10.9,0,1004.9
0,81,1008.3,9.9,2.4,10,0,1005.1
0,73,1008.6,9.3,0.7,10.5,0,1005.4
0,69,1008.5,8.9,1,10.8,0,1005.3
0,64,1008,8.3,4.5,10.8,0,1004.8
0,62,1007.7,8.1,4.2,11,0,1004.5
0,64,1007.5,8.3,3.3,10.8,0,1004.3
0,64,1006.9,8.3,4,10.8,0,1003.7
0,65,1006.4,8.4,2.2,10.7,0,1003.2
0,72,1006.4,9,2.5,10.2,0,1003.2
0,73,1006.7,9,1.3,10.1,0,1003.5
0,73,1007,8.9,1.5,9.9,0,1003.8
0,67,1007,8.3,1.3,10.2,0,1003.8
0,53,1006.8,7.6,2.2,12.3,0.8,1003.7
0.5,62,1006.9,7.6,2.4,10,0.3,1003.7
0,49,1005.6,6.9,1.3,12,0.6,1002.5
0,56,1004.7,7.4,1.4,11.1,0.1,1001.6
0,43,1002.7,6.5,5.1,13.2,0.3,999.6
2.5,76,1002.9,8.9,5.3,9.3,0.4,999.7
0.5,58,1003.5,7.4,5.9,10.6,0.6,1000.4
0.5,67,1004.7,7.1,7.3,7.8,0.1,1001.5
1.5,70,1005.5,7.1,3.7,7.2,0,1002.3
0.5,74,1006.2,6.9,5.5,6,0,1003
1,75,1006.7,6.6,2,5.2,0,1003.5
0,79,1006.5,6.8,1.4,4.8,0,1003.3
1,80,1008,6.3,2.6,3.6,0,1004.8
1,81,1008.5,6.5,3.2,3.8,0,1005.3
0.5,83,1008.3,6.6,2.9,3.7,0,1005.1
0,77,1008.8,6.3,4,4,0,1005.6
0.5,79,1008.5,6.4,1.3,3.9,0,1005.3
0,75,1009.8,6.5,2.7,4.8,0,1006.6
1,66,1009.6,6,3.4,5.6,0,1006.4
0.5,66,1010.3,6.2,5.4,6,0,1007.1
0.5,72,1011.1,6.6,4.7,5.7,0,1007.9
0,68,1011.7,6.5,5,6.3,0,1008.5
0,60,1012.3,6.1,5.6,7.2,0,1009.1
0,54,1013.1,6,5.1,8.6,0.3,1009.9
0,58,1013.8,6.5,1.6,8.7,0.3,1010.6
0,56,1014.5,6.6,4.8,9.5,0,1011.3
0,48,1014.5,6.2,3.9,10.8,0.6,1011.3
0,47,1014.3,6.8,4.4,12.4,1,1011.1
0,44,1013.9,6,5,11.7,0.9,1010.7
0,42,1013.7,5.9,3.8,12,0.7,1010.5
0,44,1013.9,6.2,2.6,12,0.6,1010.7
0,46,1014.5,6.2,5.9,11.3,0.4,1011.3
0,45,1015,5.8,3.7,10.8,1,1011.8
0,50,1015.2,6,2.5,9.7,0,1012
